student_id,Competency
af439bc5734d4622b4be49eda1ac9bb0,ENI-103
af439bc5734d4622b4be49eda1ac9bb0,ENI-107
af439bc5734d4622b4be49eda1ac9bb0,ENI-201
af439bc5734d4622b4be49eda1ac9bb0,HCD-403
af439bc5734d4622b4be49eda1ac9bb0,HCD-502
af439bc5734d4622b4be49eda1ac9bb0,SCI-105
af439bc5734d4622b4be49eda1ac9bb0,SYS-206
af439bc5734d4622b4be49eda1ac9bb0,URD-102
aff61b12db604999b0326653858f5bf7,HCD-403
aff61b12db604999b0326653858f5bf7,HCD-502
aff61b12db604999b0326653858f5bf7,HCD-504
aff61b12db604999b0326653858f5bf7,SEC-101
b00be64679d64c2fb3963c1343e15ed0,AIC-504
b00be64679d64c2fb3963c1343e15ed0,ENI-103
b00be64679d64c2fb3963c1343e15ed0,HCD-301
b00be64679d64c2fb3963c1343e15ed0,HCD-304
b00be64679d64c2fb3963c1343e15ed0,HCD-403
b00be64679d64c2fb3963c1343e15ed0,HCD-405
b00be64679d64c2fb3963c1343e15ed0,HCD-408
b00be64679d64c2fb3963c1343e15ed0,SCI-106
b00be64679d64c2fb3963c1343e15ed0,SEN-214
b00be64679d64c2fb3963c1343e15ed0,SEN-306
b00be64679d64c2fb3963c1343e15ed0,SYS-206
b00be64679d64c2fb3963c1343e15ed0,URD-202
b3fb4551e2274c608d010ea840e491cd,ENI-103
b3fb4551e2274c608d010ea840e491cd,HCD-403
b3fb4551e2274c608d010ea840e491cd,HCD-502
b3fb4551e2274c608d010ea840e491cd,SYS-102
b3fb4551e2274c608d010ea840e491cd,URD-102
b4c636a678d042428d78f6286853bfe0,COM-103
b4c636a678d042428d78f6286853bfe0,COM-105
b4c636a678d042428d78f6286853bfe0,COM-106
b4c636a678d042428d78f6286853bfe0,ENI-104
b4c636a678d042428d78f6286853bfe0,HCD-304
b4c636a678d042428d78f6286853bfe0,HCD-402
b4c636a678d042428d78f6286853bfe0,SCI-106
b4c636a678d042428d78f6286853bfe0,SCI-107
b4c636a678d042428d78f6286853bfe0,SYS-206
b4c636a678d042428d78f6286853bfe0,URD-201
b7b54fc93fd644158660926a8c9ee7a6,COM-106
b7b54fc93fd644158660926a8c9ee7a6,HAS-113
b7b54fc93fd644158660926a8c9ee7a6,HAS-123
b7b54fc93fd644158660926a8c9ee7a6,HAS-133
b7b54fc93fd644158660926a8c9ee7a6,SEC-201
b7b54fc93fd644158660926a8c9ee7a6,SEC-302
b7b54fc93fd644158660926a8c9ee7a6,SYS-206
b7b54fc93fd644158660926a8c9ee7a6,URD-101
b7b54fc93fd644158660926a8c9ee7a6,URD-202
b80820c51816425caf19ddef8c54d38c,AIC-301
b80820c51816425caf19ddef8c54d38c,AIC-605
b80820c51816425caf19ddef8c54d38c,ENI-103
b80820c51816425caf19ddef8c54d38c,HCD-402
b80820c51816425caf19ddef8c54d38c,HCD-403
b80820c51816425caf19ddef8c54d38c,SEC-101
b80820c51816425caf19ddef8c54d38c,SEC-302
b80820c51816425caf19ddef8c54d38c,SEN-304
b80820c51816425caf19ddef8c54d38c,SEN-306
b80820c51816425caf19ddef8c54d38c,SYS-206
b80820c51816425caf19ddef8c54d38c,URD-202
be31d2d3184646378ec335126f5a34f3,COM-103
be31d2d3184646378ec335126f5a34f3,COM-105
be31d2d3184646378ec335126f5a34f3,ENI-101
be31d2d3184646378ec335126f5a34f3,ENI-103
be31d2d3184646378ec335126f5a34f3,ENI-105
be31d2d3184646378ec335126f5a34f3,HCD-403
be31d2d3184646378ec335126f5a34f3,HCD-405
be31d2d3184646378ec335126f5a34f3,URD-101
be31d2d3184646378ec335126f5a34f3,URD-202
c59944e1ee3b4c9dac2a1e9df23e30e5,AIC-201
c59944e1ee3b4c9dac2a1e9df23e30e5,AIC-504
c59944e1ee3b4c9dac2a1e9df23e30e5,AIC-604
c59944e1ee3b4c9dac2a1e9df23e30e5,HAS-123
c59944e1ee3b4c9dac2a1e9df23e30e5,HAS-133
c59944e1ee3b4c9dac2a1e9df23e30e5,HAS-143
c59944e1ee3b4c9dac2a1e9df23e30e5,HCD-304
c59944e1ee3b4c9dac2a1e9df23e30e5,HCD-402
c59944e1ee3b4c9dac2a1e9df23e30e5,HCD-408
c59944e1ee3b4c9dac2a1e9df23e30e5,SCI-107
c59944e1ee3b4c9dac2a1e9df23e30e5,SEC-101
c59944e1ee3b4c9dac2a1e9df23e30e5,SEC-302
c59944e1ee3b4c9dac2a1e9df23e30e5,URD-202
c675815b58c04d558bdfe11da07a3e32,AIC-504
c675815b58c04d558bdfe11da07a3e32,COM-101
c675815b58c04d558bdfe11da07a3e32,COM-103
